antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"unknown, computers.components.videocards","computers.components.cpu, computers.components.motherboard",0.021228630471538605,0.034942701484125496,0.013901934999060681,0.6548672566371682,18.741174231610998,1.0,0.013160149301576897,2.796191659802406,0.9671733153498988,0.3288888888888889,0.6423707235895749,0.5263583595013798
computers.components.power_supply,"unknown, computers.components.videocards",0.03250046965996618,0.021228630471538605,0.012211159120796544,0.3757225433526012,17.698859276689348,1.0,0.01152121866023367,1.5678467308187394,0.975193427931292,0.2941176470588236,0.3621825524502679,0.4754718911453272
"unknown, computers.components.videocards",computers.components.power_supply,0.021228630471538605,0.03250046965996618,0.012211159120796544,0.5752212389380531,17.698859276689344,1.0,0.01152121866023367,2.277655144342163,0.9639627934445593,0.2941176470588236,0.5609519718188848,0.4754718911453272
computers.components.power_supply,"computers.components.cpu, computers.components.videocards",0.03250046965996618,0.02705241405222619,0.014841254931429645,0.4566473988439307,16.880097944765577,1.0,0.013962038769296425,1.7906375783932436,0.972360820941379,0.3319327731092437,0.44153969956482775,0.5026292549775209
"computers.components.cpu, computers.components.videocards",computers.components.power_supply,0.02705241405222619,0.03250046965996618,0.014841254931429645,0.548611111111111,16.880097944765573,1.0,0.013962038769296425,2.1433835749071513,0.9669160509457619,0.3319327731092437,0.533447950377562,0.5026292549775209
computers.components.power_supply,"computers.components.cpu, computers.components.motherboard",0.03250046965996618,0.034942701484125496,0.01634416682321999,0.5028901734104047,14.391851575610666,1.0,0.015208512613797912,1.9413361935261197,0.9617743555406761,0.31985294117647056,0.4848908688073942,0.48531605444713777
"computers.components.cpu, computers.components.motherboard",computers.components.power_supply,0.034942701484125496,0.03250046965996618,0.01634416682321999,0.46774193548387094,14.391851575610666,1.0,0.015208512613797912,1.8177263903358212,0.9642082793526343,0.31985294117647056,0.44986219855934856,0.48531605444713777
"computers.components.power_supply, computers.components.cpu, unknown, computers.components.videocards",computers.components.motherboard,0.011647567161375164,0.0695096749953034,0.011083975201953785,0.9516129032258064,13.690366172624236,1.0,0.010274356594080629,19.23013338343037,0.9378799545101627,0.1581769436997319,0.9479982806119458,0.5555361813426329
computers.components.motherboard,"computers.components.power_supply, computers.components.cpu, unknown, computers.components.videocards",0.0695096749953034,0.011647567161375164,0.011083975201953785,0.15945945945945944,13.690366172624236,1.0,0.010274356594080629,1.175853376689039,0.9962015830159431,0.1581769436997319,0.14955383058405297,0.5555361813426329
"computers.components.power_supply, unknown, computers.components.videocards, computers.components.motherboard",computers.components.cpu,0.011459703174901371,0.07157617884651513,0.011083975201953785,0.9672131147540983,13.513058818467362,1.0,0.010263733437979067,28.316926545181257,0.9367321827751258,0.1540469973890339,0.9646854329898958,0.5610343788993588
computers.components.cpu,"computers.components.power_supply, unknown, computers.components.videocards, computers.components.motherboard",0.07157617884651513,0.011459703174901371,0.011083975201953785,0.1548556430446194,13.513058818467362,1.0,0.010263733437979067,1.1696703512123061,0.9973866341081974,0.1540469973890339,0.14505826452423207,0.5610343788993588
"computers.components.power_supply, unknown, computers.components.videocards",computers.components.motherboard,0.012211159120796544,0.0695096749953034,0.011459703174901371,0.9384615384615383,13.50116424116424,1.0,0.010610909473098869,15.120467781326292,0.937378795153677,0.16310160427807488,0.9338644799577567,0.5516632016632016
computers.components.motherboard,"computers.components.power_supply, unknown, computers.components.videocards",0.0695096749953034,0.012211159120796544,0.011459703174901371,0.16486486486486485,13.50116424116424,1.0,0.010610909473098869,1.1827892269427356,0.9951014950369539,0.16310160427807488,0.15454082839020075,0.5516632016632016
"computers.components.power_supply, computers.components.cpu, unknown",computers.components.motherboard,0.014465526958482059,0.0695096749953034,0.013526207026113094,0.9350649350649352,13.452299052299054,1.0,0.012520712948593207,14.329551005072348,0.9392500105900792,0.192,0.9302141428125681,0.5648297648297649
computers.components.motherboard,"computers.components.power_supply, computers.components.cpu, unknown",0.0695096749953034,0.014465526958482059,0.013526207026113094,0.1945945945945946,13.452299052299054,1.0,0.012520712948593207,1.2236501846488645,0.9948123471745519,0.192,0.18277297503374515,0.5648297648297649
"computers.components.power_supply, unknown, computers.components.motherboard",computers.components.cpu,0.014089798985534472,0.07157617884651513,0.013526207026113094,0.9600000000000001,13.41228346456693,1.0,0.012517713054013032,23.210595528837164,0.9386671112804877,0.1875,0.9569162282476731,0.574488188976378
